,Prime_Minister,URL,Rank,Party,Year_of_start,Year_of_end,Date_Of_Birth
0,Robert Walpole,https://en.wikipedia.org/wiki/Robert_Walpole,Sir,Whig,1721-04-03,1742-02-11,1676-08-26
1,Spencer Compton,"https://en.wikipedia.org/wiki/Spencer_Compton,_1st_Earl_of_Wilmington",Earl,Whig,1742-02-16,1743-07-02,1674-01-01
2,Henry Pelham,https://en.wikipedia.org/wiki/Henry_Pelham,No Rank,Whig,1743-08-27,1754-03-06,1694-09-25
3,Thomas Pelham-Holles,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle",Duke,Whig,1754-03-16,1756-11-11,1693-07-21
4,William Cavendish,"https://en.wikipedia.org/wiki/William_Cavendish,_4th_Duke_of_Devonshire",Duke,Whig,1756-11-16,1757-06-29,1720-05-08
5,Thomas Pelham-Holles,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle",Duke,Whig,1757-06-29,1762-05-26,1693-07-21
6,John Stuart,"https://en.wikipedia.org/wiki/John_Stuart,_3rd_Earl_of_Bute",Earl,Tory,1762-05-26,1763-04-08,1713-05-25
7,George Grenville,https://en.wikipedia.org/wiki/George_Grenville,No Rank,Whig,1763-04-16,1765-07-10,1712-10-14
8,Charles Watson-Wentworth,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham",Marquess,Whig,1765-07-13,1766-07-30,1730-05-13
9,William Pitt,"https://en.wikipedia.org/wiki/William_Pitt,_1st_Earl_of_Chatham",Earl,Whig,1766-07-30,1768-10-14,1708-11-15
10,Augustus FitzRoy,"https://en.wikipedia.org/wiki/Augustus_FitzRoy,_3rd_Duke_of_Grafton",Duke,Whig,1768-10-14,1770-01-28,1735-09-28
11,Frederick North,"https://en.wikipedia.org/wiki/Frederick_North,_Lord_North",Lord,Tory,1770-01-28,1782-03-27,1732-04-13
12,Charles Watson-Wentworth,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham",Marquess,Whig,1782-03-27,1782-07-01,1730-05-13
13,William Petty,"https://en.wikipedia.org/wiki/William_Petty,_2nd_Earl_of_Shelburne",Earl,Whig,1782-07-04,1783-03-26,1737-05-02
14,William Cavendish-Bentinck,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland",Duke,Whig,1783-04-02,1783-12-18,1738-04-14
15,William Pitt the Younger,https://en.wikipedia.org/wiki/William_Pitt_the_Younger,No Rank,Tory,1783-12-19,1801-03-14,1759-05-28
16,Henry Addington,https://en.wikipedia.org/wiki/Henry_Addington,No Rank,Tory,1801-03-17,1804-05-10,1757-05-30
17,William Pitt the Younger,https://en.wikipedia.org/wiki/William_Pitt_the_Younger,No Rank,Tory,1804-05-10,1806-01-23,1759-05-28
18,William Grenville,"https://en.wikipedia.org/wiki/William_Grenville,_1st_Baron_Grenville",Baron,Whig,1806-02-11,1807-03-25,1759-10-25
19,William Cavendish-Bentinck,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland",Duke,Tory,1807-03-31,1809-10-04,1738-04-14
20,Spencer Perceval,https://en.wikipedia.org/wiki/Spencer_Perceval,No Rank,Tory,1809-10-04,1812-05-11,1762-11-01
21,Robert Jenkinson,"https://en.wikipedia.org/wiki/Robert_Jenkinson,_2nd_Earl_of_Liverpool",Earl,Tory,1812-06-08,1827-04-09,1770-06-07
22,George Canning,https://en.wikipedia.org/wiki/George_Canning,No Rank,Tory,1827-04-12,1827-08-08,1770-04-11
23,F. J. Robinson,"https://en.wikipedia.org/wiki/F._J._Robinson,_1st_Viscount_Goderich",Viscount,Tory,1827-08-31,1828-01-08,1782-11-01
24,Arthur Wellesley,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington",Duke,Tory,1828-01-22,1830-11-16,1769-05-01
25,Charles Grey,"https://en.wikipedia.org/wiki/Charles_Grey,_2nd_Earl_Grey",Earl,Whig,1830-11-22,1834-07-09,1764-03-13
26,William Lamb,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne",Viscount,Whig,1834-07-16,1834-11-14,1779-03-15
27,Arthur Wellesley,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington",Duke,Tory,1834-11-17,1834-12-09,1769-05-01
28,Robert Peel,https://en.wikipedia.org/wiki/Robert_Peel,Sir,Conservative,1834-12-10,1835-04-08,1788-02-05
29,William Lamb,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne",Viscount,Whig,1835-04-18,1841-08-30,1779-03-15
30,Robert Peel,https://en.wikipedia.org/wiki/Robert_Peel,Sir,Conservative,1841-08-30,1846-06-29,1788-02-05
31,John Russell,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell",Earl,Whig,1846-06-30,1852-02-21,1792-08-18
32,Edward Smith-Stanley,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby",Earl,Conservative,1852-02-23,1852-12-17,1799-03-29
33,George Hamilton-Gordon,"https://en.wikipedia.org/wiki/George_Hamilton-Gordon,_4th_Earl_of_Aberdeen",Earl,#99FF99,1852-12-19,1855-01-30,1784-01-28
34,Henry John Temple,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston",Viscount,Whig,1855-02-06,1858-02-19,1784-10-20
35,Edward Smith-Stanley,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby",Earl,Conservative,1858-02-20,1859-06-11,1799-03-29
36,Henry John Temple,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston",Viscount,Liberal,1859-06-12,1865-10-18,1784-10-20
37,John Russell,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell",Earl,Liberal,1865-10-29,1866-06-26,1792-08-18
38,Edward Smith-Stanley,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby",Earl,Conservative,1866-06-28,1868-02-25,1799-03-29
39,Benjamin Disraeli,https://en.wikipedia.org/wiki/Benjamin_Disraeli,No Rank,Conservative,1868-02-27,1868-12-01,1804-12-21
40,William Ewart Gladstone,https://en.wikipedia.org/wiki/William_Ewart_Gladstone,No Rank,Liberal,1868-12-03,1874-02-17,1809-12-29
41,Benjamin Disraeli,https://en.wikipedia.org/wiki/Benjamin_Disraeli,No Rank,Conservative,1874-02-20,1880-04-21,1804-12-21
42,William Ewart Gladstone,https://en.wikipedia.org/wiki/William_Ewart_Gladstone,No Rank,Liberal,1880-04-23,1885-06-09,1809-12-29
43,Robert Gascoyne-Cecil,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Marquess,Conservative,1885-06-23,1886-01-28,1830-02-03
44,William Ewart Gladstone,https://en.wikipedia.org/wiki/William_Ewart_Gladstone,No Rank,Liberal,1886-02-01,1886-07-20,1809-12-29
45,Robert Gascoyne-Cecil,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Marquess,Conservative,1886-07-25,1892-08-11,1830-02-03
46,William Ewart Gladstone,https://en.wikipedia.org/wiki/William_Ewart_Gladstone,No Rank,Liberal,1892-08-15,1894-03-02,1809-12-29
47,Archibald Primrose,"https://en.wikipedia.org/wiki/Archibald_Primrose,_5th_Earl_of_Rosebery",Earl,Liberal,1894-03-05,1895-06-22,1847-05-07
48,Robert Gascoyne-Cecil,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Marquess,Conservative,1895-06-25,1902-07-11,1830-02-03
49,Arthur Balfour,https://en.wikipedia.org/wiki/Arthur_Balfour,No Rank,Conservative,1902-07-12,1905-12-04,1848-07-25
50,Henry Campbell-Bannerman,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman,Sir,Liberal,1905-12-05,1908-04-03,1836-09-07
51,H. H. Asquith,https://en.wikipedia.org/wiki/H._H._Asquith,No Rank,Liberal,1908-04-08,1916-12-05,1852-09-12
52,David Lloyd George,https://en.wikipedia.org/wiki/David_Lloyd_George,No Rank,Liberal,1916-12-06,1922-10-19,1863-01-17
53,Bonar Law,https://en.wikipedia.org/wiki/Bonar_Law,No Rank,Conservative,1922-10-23,1923-05-20,1858-09-16
54,Stanley Baldwin,https://en.wikipedia.org/wiki/Stanley_Baldwin,No Rank,Conservative,1923-05-22,1924-01-22,1867-08-03
55,Ramsay MacDonald,https://en.wikipedia.org/wiki/Ramsay_MacDonald,No Rank,Labour,1924-01-22,1924-11-04,1866-10-12
56,Stanley Baldwin,https://en.wikipedia.org/wiki/Stanley_Baldwin,No Rank,Conservative,1924-11-04,1929-06-04,1867-08-03
57,Ramsay MacDonald,https://en.wikipedia.org/wiki/Ramsay_MacDonald,No Rank,Labour,1929-06-05,1935-06-07,1866-10-12
58,Stanley Baldwin,https://en.wikipedia.org/wiki/Stanley_Baldwin,No Rank,Conservative,1935-06-07,1937-05-28,1867-08-03
59,Neville Chamberlain,https://en.wikipedia.org/wiki/Neville_Chamberlain,No Rank,Conservative,1937-05-28,1940-05-10,1869-03-18
60,Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,No Rank,Conservative,1940-05-10,1945-07-26,1874-11-30
61,Clement Attlee,https://en.wikipedia.org/wiki/Clement_Attlee,No Rank,Labour,1945-07-26,1951-10-26,1883-01-03
62,Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,Sir,Conservative,1951-10-26,1955-04-05,1874-11-30
63,Anthony Eden,https://en.wikipedia.org/wiki/Anthony_Eden,Sir,Conservative,1955-04-06,1957-01-09,1897-06-12
64,Harold Macmillan,https://en.wikipedia.org/wiki/Harold_Macmillan,No Rank,Conservative,1957-01-10,1963-10-18,1894-02-10
65,Alec Douglas-Home,https://en.wikipedia.org/wiki/Alec_Douglas-Home,Sir,Conservative,1963-10-19,1964-10-16,1903-07-02
66,Harold Wilson,https://en.wikipedia.org/wiki/Harold_Wilson,No Rank,Labour,1964-10-16,1970-06-19,1916-03-11
67,Edward Heath,https://en.wikipedia.org/wiki/Edward_Heath,No Rank,Conservative,1970-06-19,1974-03-04,1916-07-09
68,Harold Wilson,https://en.wikipedia.org/wiki/Harold_Wilson,No Rank,Labour,1974-03-04,1976-04-05,1916-03-11
69,James Callaghan,https://en.wikipedia.org/wiki/James_Callaghan,No Rank,Labour,1976-04-05,1979-05-04,1912-03-27
70,Margaret Thatcher,https://en.wikipedia.org/wiki/Margaret_Thatcher,No Rank,Conservative,1979-05-04,1990-11-28,1925-10-13
71,John Major,https://en.wikipedia.org/wiki/John_Major,No Rank,Conservative,1990-11-28,1997-05-02,1943-03-29
72,Tony Blair,https://en.wikipedia.org/wiki/Tony_Blair,No Rank,Labour,1997-05-02,2007-06-27,1953-05-06
73,Gordon Brown,https://en.wikipedia.org/wiki/Gordon_Brown,No Rank,Labour,2007-06-27,2010-05-11,1951-02-20
74,David Cameron,https://en.wikipedia.org/wiki/David_Cameron,No Rank,Conservative,2010-05-11,2016-07-13,1966-10-09
